feature_selection;transformer;scaler;classifier;acc;f1;auc;acc-std;f1-std;auc-std
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.8570991545542445;0.6464182542391919;0.9111721808266673;0.003937923192946336;0.011972062128128921;0.0036128618414352025
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LogisticRegression(max_iter=500);0.8502196702795505;0.6566537522194996;0.9044975994381442;0.003911970436858976;0.010580966368419459;0.004681299180315723
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.8300115371223156;0.5988939552467304;0.8663463350664052;0.004178080203871286;0.013029652383158986;0.004835438080201718
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LGBMClassifier();0.8736833316923137;0.7153545054939493;0.9284015211406601;0.002613044997564635;0.007724520269553137;0.001846671038463464
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.8585733088727101;0.6501710083806145;0.9161572938113011;0.003491176779501903;0.01072791452972182;0.002962509175472344
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LogisticRegression(max_iter=500);0.8229784383227496;0.545480639052054;0.8518276496907561;0.0014253615920769886;0.0034475543791673054;0.007810263696293041
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.8300116455805078;0.5944831616801698;0.8668274057397142;0.005333138364545131;0.01551134755451793;0.003090835745280442
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LGBMClassifier();0.8731611903767593;0.7141831610778255;0.927786337504225;0.0026680224053465614;0.0065240566079071026;0.002531572409427082
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TFEmbeddingWrapper_SingleStrategy();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.8640092523326057;0.6761666612874202;0.9188296744880233;0.00325347910044853;0.006194462584769242;0.003396549762159492
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TFEmbeddingWrapper_SingleStrategy();MaxAbsScaler();LogisticRegression(max_iter=500);0.8498204262425819;0.6559361430996895;0.9035378441723086;0.002794040478609107;0.008870767713204877;0.004757806981098482
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TFEmbeddingWrapper_SingleStrategy();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.8301957840131493;0.5995972705822771;0.8683573425262818;0.004333604997867662;0.012431665377089365;0.005030985530519495
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TFEmbeddingWrapper_SingleStrategy();MaxAbsScaler();LGBMClassifier();0.8738061770995902;0.716174400397257;0.9283995669000731;0.0017337197855733168;0.00482366047622011;0.0023506639269202513
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TFEmbeddingWrapper_SingleStrategy();MaxAbsScaler();DNN;0.8465957519849736;0.5934193270434648;0.9101525938054221;0.0035145301420066635;0.011968516131827561;0.0036501915231057533
