feature_selection;transformer;scaler;classifier;acc;f1;auc;acc-std;f1-std;auc-std
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.9974147783251232;0.9938326723585543;0.9999841078967862;0.0037030287662572006;0.010006270308167496;3.553582309179602e-05
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LogisticRegression(max_iter=500);0.9871989389920424;0.9780332267821634;0.9993796108178227;0.014149440177350625;0.03404181936809689;0.0008546961512273396
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.9702121258052292;0.9561051891435804;0.9981133035769283;0.03324916100772784;0.05237481422356197;0.0034105004520306507
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LGBMClassifier();0.9945821902235696;0.9896261340059395;0.9998869894882567;0.008602818287770963;0.014581867469296057;0.00025269918643020607
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.9980302387267905;0.9954066762933931;0.9999837547389369;0.002731932986849054;0.0070678361335981205;3.6325508049315354e-05
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LogisticRegression(max_iter=500);0.8353148162182645;0.7766058429330688;0.8450324532803378;0.17831291256774867;0.23394922043538294;0.165431164646
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.9327848427434635;0.8927007079959491;0.9890486647830045;0.06391205249026764;0.1156279858977302;0.015718919658195125
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LGBMClassifier();0.9975372489579385;0.9953547382534854;0.9999738663191593;0.004266135047864599;0.007086817906703742;5.8436686861966915e-05
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TFEmbeddingWrapper_SingleStrategy();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.9981532398635847;0.9959299699981446;0.9999971747372065;0.0025382150089515013;0.005815025539155544;6.317479660750496e-06
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TFEmbeddingWrapper_SingleStrategy();MaxAbsScaler();LogisticRegression(max_iter=500);0.9827680939749905;0.9695157940132904;0.9985377550993082;0.020133894811507364;0.05010640367809288;0.002659643088599525
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TFEmbeddingWrapper_SingleStrategy();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.9692290261462675;0.9534611882358547;0.9964127814615606;0.037801393646563826;0.0661928269948143;0.0049910862498320704
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TFEmbeddingWrapper_SingleStrategy();MaxAbsScaler();LGBMClassifier();0.9933502084122774;0.9880734949521495;0.999302530053763;0.012904747857633314;0.021175759498540735;0.001085092531038501
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TFEmbeddingWrapper_SingleStrategy();MaxAbsScaler();DNN;0.9777183781735506;0.9562162489967069;0.995368404564368;0.02325626948210968;0.06076999324851544;0.009476159845345186
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TFEmbeddingWrapper_Max2Strategy();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.9990147783251231;0.9984344422700587;0.9999848142124845;0.0022030226379308247;0.0035006935068489856;3.395645317655874e-05
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TFEmbeddingWrapper_Max2Strategy();MaxAbsScaler();LogisticRegression(max_iter=500);0.983137400530504;0.9693910822468432;0.9987761412708973;0.020472452901590395;0.05198492679755506;0.0016782966345876913
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TFEmbeddingWrapper_Max2Strategy();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.9768577491474042;0.9726852671648609;0.9986458143534429;0.028059048987291873;0.02516810634600596;0.0027678426704287246
