feature_selection;transformer;scaler;classifier;acc;f1;auc;acc-std;f1-std;auc-std
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.7200699988722058;0.8372377318257863;0.738404524951415;0.007740656659381197;0.0052472203079409205;0.010787427903853569
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LogisticRegression(max_iter=500);0.7788970128134773;0.858411700143124;0.809063457479145;0.002122712593110193;0.002247056215285426;0.008694199431702548
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7298079568884537;0.8253127098586152;0.6988322600045612;0.011174216982530709;0.008160059882378034;0.008154941213371313
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LGBMClassifier();0.7700260771824987;0.8508926324240556;0.7961525383498229;0.008376328696459906;0.00605339429621495;0.010727596937628356
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.754886229588204;0.8488892427608883;0.7797043094639999;0.005450402764470716;0.004146984764694473;0.007770288781936885
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LogisticRegression(max_iter=500);0.7250725336286212;0.8359667251909491;0.6749175831214739;0.007955594748505414;0.0050111519054046655;0.007179240815274981
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7099321521672445;0.8129989508561554;0.6442672011335976;0.009861173470311608;0.006946459398208548;0.005780463553754995
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LGBMClassifier();0.7624225642481227;0.8469057412053813;0.7847556205629765;0.0073692356511167005;0.005768761590803546;0.007110195543085379
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');TFEmbeddingWrapper_SingleStrategy();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.7917025265926979;0.860759749855592;0.834198976244981;0.005289045443907697;0.005581410470295197;0.0075426199918270055
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');TFEmbeddingWrapper_SingleStrategy();MaxAbsScaler();LogisticRegression(max_iter=500);0.77162585438197;0.843157580275158;0.8190927376331738;0.009905567471485173;0.011515945507363044;0.007220553323562225
