feature_selection;transformer;scaler;classifier;acc;f1;auc;acc-std;f1-std;auc-std
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.8182223338145753;0.7341228681472248;0.8667041085312904;0.030039373476370763;0.06317352224171452;0.033065411900047956
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LogisticRegression(max_iter=500);0.806973824618668;0.737435838590349;0.8504162632158005;0.01322294602293661;0.03197414629613858;0.02558852024688653
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7991023790094782;0.6980368313199703;0.8388261560603363;0.022251714657069238;0.0529536003250044;0.03791264838971474
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LGBMClassifier();0.8249576297784195;0.7649745912796357;0.8654217231995365;0.03507851210933316;0.05475959291612837;0.035895104103512536
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.8170861841692298;0.7468271449062686;0.8713230383624744;0.021284497087019443;0.04408888948969096;0.03635854872696295
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LogisticRegression(max_iter=500);0.7934906785512522;0.7210617475400315;0.8493023019699436;0.03471704427849374;0.04438322374653045;0.019617654025666554
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.797966229364133;0.6969839508800675;0.8416966131455558;0.030095354019713864;0.04721197943658406;0.03769977018557729
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LGBMClassifier();0.8148327160881299;0.755175905486518;0.8682382935241237;0.0273535014293659;0.04581172493722859;0.03440396153643218
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_SingleStrategy();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.8181721172556651;0.7494704500711127;0.8449883851176155;0.0343695484892876;0.0436788433980148;0.04944648268573175
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_SingleStrategy();MaxAbsScaler();LogisticRegression(max_iter=500);0.77890276818781;0.7092206703313684;0.8345774724167333;0.0319004911600143;0.03856766103659178;0.027690993256144426
