feature_selection;transformer;scaler;classifier;acc;f1;auc;acc-std;f1-std;auc-std
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');MeanTargetEncoder(target=target, alpha=5);MaxAbsScaler();RandomForestClassifier(max_depth=5);0.8531066198730869;0.6275141272734401;0.9087345148713588;0.0036662617651151445;0.008050392030266562;0.004010147797498632
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');MeanTargetEncoder(target=target, alpha=5);MaxAbsScaler();LogisticRegression(max_iter=500);0.8454286805334709;0.6399193185359489;0.8997642786537646;0.0022886302906133926;0.008060814383823067;0.004035397347937098
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');MeanTargetEncoder(target=target, alpha=5);MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.835877437149892;0.6086220405147251;0.8749241328432232;0.003446822419789286;0.009795541349643359;0.0028126730289611606
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');MeanTargetEncoder(target=target, alpha=5);MaxAbsScaler();LGBMClassifier();0.8720555628489759;0.7107771270800393;0.9278658188709354;0.0012588367430623067;0.006574138904441795;0.0023448942619947906
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();RandomForestClassifier(max_depth=5);0.8391020783984857;0.5584200001096459;0.8983750440650674;0.0023045448648913187;0.008967128251441282;0.004521553187709235
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LogisticRegression(max_iter=500);0.8502196702795505;0.6566537522194996;0.9044975994381442;0.003911970436858976;0.010580966368419459;0.004681299180315723
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.8300115371223156;0.5988939552467304;0.8663463350664052;0.004178080203871286;0.013029652383158986;0.004835438080201718
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LGBMClassifier();0.8736833316923137;0.7153545054939493;0.9284015211406601;0.002613044997564635;0.007724520269553137;0.001846671038463464
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();RandomForestClassifier(max_depth=5);0.8501890709226039;0.615091041115494;0.9032920935012914;0.0036953204998972466;0.011989945178086688;0.003595049592016234
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LogisticRegression(max_iter=500);0.8229784383227496;0.545480639052054;0.8518276496907561;0.0014253615920769886;0.0034475543791673054;0.007810263696293041
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.8300116455805078;0.5944831616801698;0.8668274057397142;0.005333138364545131;0.01551134755451793;0.003090835745280442
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LGBMClassifier();0.8731611903767593;0.7141831610778255;0.927786337504225;0.0026680224053465614;0.0065240566079071026;0.002531572409427082
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TFEmbeddingWrapper_SingleStrategy;MaxAbsScaler();RandomForestClassifier(max_depth=5);0.85307588848008;0.6292862061542837;0.9079102722291479;0.004196301150395308;0.006076428967391399;0.0041811539784408274
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TFEmbeddingWrapper_SingleStrategy;MaxAbsScaler();LogisticRegression(max_iter=500);0.8492676431299186;0.6549416401473049;0.9033496113386302;0.0034557409960574137;0.008909495126143672;0.004677452946190488
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TFEmbeddingWrapper_SingleStrategy;MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.8321614095566192;0.60505468184022;0.8694724241033329;0.0047234403997889725;0.012647103445813471;0.0039836133012087025
FeatureSelection(categoricals=['workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country'], numericals=['age', 'fnlwgt', 'education_num', 'capital_gain', 'capital_loss', 'hours-per-week'], target='target');TFEmbeddingWrapper_SingleStrategy;MaxAbsScaler();LGBMClassifier();0.8729770000728084;0.7141840474471005;0.9282707414057363;0.0027295579116276927;0.009270726419526771;0.002086848599891068
