feature_selection;transformer;scaler;classifier;acc;f1;auc;acc-std;f1-std;auc-std
FeatureSelection(categoricals=['city', 'gender', 'relevent_experience', 'enrolled_university', 'education_level', 'major_discipline', 'experience', 'company_size', 'company_type', 'last_new_job'], numericals=['city_development_index', 'training_hours'], target='target');MeanTargetEncoder(target=target, alpha=5);MaxAbsScaler();RandomForestClassifier(max_depth=5);0.7883910865595415;0.5280125539066947;0.79854383337401;0.008255700765377455;0.013019716694244494;0.005024628581486992
FeatureSelection(categoricals=['city', 'gender', 'relevent_experience', 'enrolled_university', 'education_level', 'major_discipline', 'experience', 'company_size', 'company_type', 'last_new_job'], numericals=['city_development_index', 'training_hours'], target='target');MeanTargetEncoder(target=target, alpha=5);MaxAbsScaler();LogisticRegression(max_iter=500);0.7783169686477036;0.4418719515731893;0.7915724858226523;0.00542291525101504;0.007510603288297728;0.009388944047153144
FeatureSelection(categoricals=['city', 'gender', 'relevent_experience', 'enrolled_university', 'education_level', 'major_discipline', 'experience', 'company_size', 'company_type', 'last_new_job'], numericals=['city_development_index', 'training_hours'], target='target');MeanTargetEncoder(target=target, alpha=5);MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7763335066257087;0.4738537375619572;0.7776631357464426;0.006869554760760796;0.01125544710601687;0.005682555735956603
FeatureSelection(categoricals=['city', 'gender', 'relevent_experience', 'enrolled_university', 'education_level', 'major_discipline', 'experience', 'company_size', 'company_type', 'last_new_job'], numericals=['city_development_index', 'training_hours'], target='target');MeanTargetEncoder(target=target, alpha=5);MaxAbsScaler();LGBMClassifier();0.793401770197962;0.5836380393967339;0.7978831014408397;0.009122510905315084;0.01210273636051148;0.004634957538042204
FeatureSelection(categoricals=['city', 'gender', 'relevent_experience', 'enrolled_university', 'education_level', 'major_discipline', 'experience', 'company_size', 'company_type', 'last_new_job'], numericals=['city_development_index', 'training_hours'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();RandomForestClassifier(max_depth=5);0.7538884792722156;0.060104115323623294;0.7926204128579746;0.004197560624957236;0.014463747486777541;0.004647920956146228
FeatureSelection(categoricals=['city', 'gender', 'relevent_experience', 'enrolled_university', 'education_level', 'major_discipline', 'experience', 'company_size', 'company_type', 'last_new_job'], numericals=['city_development_index', 'training_hours'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LogisticRegression(max_iter=500);0.7820231230882663;0.4636346130174404;0.7962057425263529;0.007723321019885298;0.010891658330755779;0.0077347722612739625
FeatureSelection(categoricals=['city', 'gender', 'relevent_experience', 'enrolled_university', 'education_level', 'major_discipline', 'experience', 'company_size', 'company_type', 'last_new_job'], numericals=['city_development_index', 'training_hours'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7724709530917158;0.46186483091768116;0.7707253393655289;0.006765493855112406;0.008910013832653208;0.0074963155027179
FeatureSelection(categoricals=['city', 'gender', 'relevent_experience', 'enrolled_university', 'education_level', 'major_discipline', 'experience', 'company_size', 'company_type', 'last_new_job'], numericals=['city_development_index', 'training_hours'], target='target');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LGBMClassifier();0.7963770449726411;0.5902380511778285;0.8008546554932396;0.005747983993908631;0.00799775537403373;0.0049158646029822586
FeatureSelection(categoricals=['city', 'gender', 'relevent_experience', 'enrolled_university', 'education_level', 'major_discipline', 'experience', 'company_size', 'company_type', 'last_new_job'], numericals=['city_development_index', 'training_hours'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();RandomForestClassifier(max_depth=5);0.7812401058500346;0.46723504490347684;0.7949231307201786;0.006347058580226281;0.018909666094050686;0.00410666929531261
FeatureSelection(categoricals=['city', 'gender', 'relevent_experience', 'enrolled_university', 'education_level', 'major_discipline', 'experience', 'company_size', 'company_type', 'last_new_job'], numericals=['city_development_index', 'training_hours'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LogisticRegression(max_iter=500);0.768347411976465;0.36339129295835426;0.7650495289243882;0.005206613197809269;0.013054153592933063;0.007088459580222012
FeatureSelection(categoricals=['city', 'gender', 'relevent_experience', 'enrolled_university', 'education_level', 'major_discipline', 'experience', 'company_size', 'company_type', 'last_new_job'], numericals=['city_development_index', 'training_hours'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7618748191465187;0.3609615536962498;0.7364918996877052;0.0028625051067818533;0.011418783422150957;0.005290233157483855
FeatureSelection(categoricals=['city', 'gender', 'relevent_experience', 'enrolled_university', 'education_level', 'major_discipline', 'experience', 'company_size', 'company_type', 'last_new_job'], numericals=['city_development_index', 'training_hours'], target='target');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LGBMClassifier();0.7952286696431539;0.588551670828971;0.798495172652171;0.005548015081102638;0.006460708596635402;0.006105330266623267
FeatureSelection(categoricals=['city', 'gender', 'relevent_experience', 'enrolled_university', 'education_level', 'major_discipline', 'experience', 'company_size', 'company_type', 'last_new_job'], numericals=['city_development_index', 'training_hours'], target='target');TFEmbeddingWrapper_SingleStrategy;MaxAbsScaler();RandomForestClassifier(max_depth=5);0.7853637150833574;0.5038613029590312;0.7968498115199772;0.0051841783809635205;0.017456953950551815;0.005286743584416916
