feature_selection;transformer;scaler;classifier;acc;f1;auc;acc-std;f1-std;auc-std
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');MeanTargetEncoder(target=survived, alpha=5);MaxAbsScaler();RandomForestClassifier(max_depth=5);0.8148076078086751;0.7341001279228412;0.8464954741129848;0.021463157457765777;0.03654872493286464;0.02614513173788844
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');MeanTargetEncoder(target=survived, alpha=5);MaxAbsScaler();LogisticRegression(max_iter=500);0.7856568953612454;0.7122560261550139;0.8458439675647782;0.02265738126484319;0.04393714171815591;0.023494230458108074
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');MeanTargetEncoder(target=survived, alpha=5);MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.8069424392693492;0.7081359644436378;0.8414511501162718;0.025449448712797397;0.0382007766958174;0.0369859179765843
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');MeanTargetEncoder(target=survived, alpha=5);MaxAbsScaler();LGBMClassifier();0.7845207457158999;0.690860870124028;0.8109374518578842;0.0385686396583843;0.07729071686913315;0.040245728071504394
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();RandomForestClassifier(max_depth=5);0.7991525955683887;0.6864761608938179;0.8541567193985939;0.04322713857806485;0.08668794798351703;0.033562401315403965
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LogisticRegression(max_iter=500);0.806973824618668;0.737435838590349;0.8504162632158005;0.01322294602293661;0.03197414629613858;0.02558852024688653
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7991023790094782;0.6980368313199703;0.8388261560603363;0.022251714657069238;0.0529536003250044;0.03791264838971474
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LGBMClassifier();0.8249576297784195;0.7649745912796357;0.8654217231995365;0.03507851210933316;0.05475959291612837;0.035895104103512536
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();RandomForestClassifier(max_depth=5);0.8170861841692296;0.7367055569959381;0.867179676900375;0.04382519299765898;0.06980401236668998;0.03180358373478431
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LogisticRegression(max_iter=500);0.7934906785512522;0.7210617475400315;0.8493023019699436;0.03471704427849374;0.04438322374653045;0.019617654025666554
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.797966229364133;0.6969839508800675;0.8416966131455558;0.030095354019713864;0.04721197943658406;0.03769977018557729
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LGBMClassifier();0.8148327160881299;0.755175905486518;0.8682382935241237;0.0273535014293659;0.04581172493722859;0.03440396153643218
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_SingleStrategy;MaxAbsScaler();RandomForestClassifier(max_depth=5);0.8103195028560668;0.7270092387793149;0.8522865069488791;0.032652263694455605;0.039082724144955505;0.022472780557046147
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_SingleStrategy;MaxAbsScaler();LogisticRegression(max_iter=500);0.8047266336074321;0.7358866952292729;0.8453699067209287;0.014302328134474273;0.03303568797449963;0.02210959967460492
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_SingleStrategy;MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7912372104701525;0.6791582921604075;0.8148936631259207;0.023046557135563993;0.04904440094851781;0.038555305345097456
