feature_selection;transformer;scaler;classifier;acc;f1;auc;acc-std;f1-std;auc-std
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.8807237813884786;0.8937626436266156;0.9969833822884807;0.16358519688866344;0.10290904042714302;0.0026649039950615203
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LogisticRegression(max_iter=500);0.8647218119153127;0.8678037401965626;0.9936704401678386;0.15925797761172875;0.09845083231061298;0.00991435631698733
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.9106351550960118;0.9335884306728652;0.9424363567886328;0.1358620355304469;0.0795677178821785;0.09503788344750302
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OneHotEncoder(handle_unknown='ignore')();MaxAbsScaler();LGBMClassifier();0.8655834564254062;0.8566694996536016;0.9284931122805479;0.1456503304174856;0.11219822100939839;0.07828397470441725
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.8409650418513047;0.7879712339690831;0.9986194227836597;0.16580680410350912;0.20533336626649204;0.0013303846481800803
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LogisticRegression(max_iter=500);0.6442639094042344;0.6185959932580395;0.8259009599919406;0.08863039544088676;0.16114315704792434;0.17684072935343959
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.8268094534711965;0.7145803970046395;0.8153033863201622;0.1600841157301394;0.32412423465345835;0.19696704809121424
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');TransformStrategy_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1)();MaxAbsScaler();LGBMClassifier();0.8911866075824717;0.9135454429293759;0.9621244401470032;0.1623494382674637;0.100779919957244;0.05148147928942259
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');MeanTargetEncoder(alpha=5);MaxAbsScaler();RandomForestClassifier(max_depth=10);0.8764155588380108;0.8797115448258147;0.9866863871956687;0.15350761032866464;0.1055043468536646;0.01616915220270745
FeatureSelection(categoricals=['cap_shape', 'cap_surface', 'cap_color', 'bruises', 'odor', 'gill_attachment', 'gill_spacing', 'gill_size', 'gill_color', 'stalk_shape', 'stalk_root', 'stalk_surface_above_ring', 'stalk_surface_below_ring', 'stalk_color_above_ring', 'stalk_color_below_ring', 'veil_type', 'veil_color', 'ring_number', 'ring_type', 'spore_print_color', 'population', 'habitat'], numericals=[], target='class_ep');MeanTargetEncoder(alpha=5);MaxAbsScaler();LogisticRegression(max_iter=500);0.8798621368783851;0.8880300538258479;0.9836769823063634;0.147311746392739;0.08929584391076463;0.023352953584214124
