feature_selection;transformer;scaler;classifier;acc;f1;auc;acc-std;f1-std;auc-std
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');SimpleComposite_Mono_OneHotEncoder(handle_unknown='ignore');MaxAbsScaler();RandomForestClassifier(max_depth=10);0.7202698703389033;0.8373455335456351;0.7369369269645211;0.005546745576103142;0.0037607195470165384;0.011433141642949332
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');SimpleComposite_Mono_OneHotEncoder(handle_unknown='ignore');MaxAbsScaler();LogisticRegression(max_iter=500);0.7768960429212042;0.8574082768788212;0.8060293504792327;0.002867276367937717;0.002010960357009071;0.012466896721668593
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');SimpleComposite_Mono_OneHotEncoder(handle_unknown='ignore');MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7314082193480421;0.827294150162091;0.6934268889387277;0.0032060331292609275;0.0019408445749799206;0.00465665492885122
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');SimpleComposite_Mono_OneHotEncoder(handle_unknown='ignore');MaxAbsScaler();LGBMClassifier();0.7661581476029808;0.8484616941775561;0.7884483692443102;0.01022189141176398;0.007401248356817604;0.012775043724773677
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');SimpleComposite_Mono_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1);MaxAbsScaler();RandomForestClassifier(max_depth=10);0.7538189847348452;0.8481895000277418;0.7755612619762338;0.006996358841277591;0.004250828399069533;0.003939385408528107
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');SimpleComposite_Mono_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1);MaxAbsScaler();LogisticRegression(max_iter=500);0.7245386714488342;0.8356299209963733;0.6754723892473673;0.007611527891988035;0.004474905355582977;0.0058169863982970695
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');SimpleComposite_Mono_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1);MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7086640940146322;0.812174853215058;0.6447888428139391;0.003858308014523234;0.0027506367554205346;0.003134079131121396
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');SimpleComposite_Mono_OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=-1);MaxAbsScaler();LGBMClassifier();0.7609558532238191;0.846399639813006;0.7799093416581364;0.009735620039401323;0.006439327512975019;0.011341726796332758
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');SimpleComposite_MonoEmbeddings_Max2Strategy();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.7706262946777004;0.8452414387334103;0.8187565632338775;0.0019010174356711561;0.005742682038210814;0.008398794860877596
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');SimpleComposite_MonoEmbeddings_Max2Strategy();MaxAbsScaler();LogisticRegression(max_iter=500);0.7724938684699415;0.8485021298538266;0.8087436230048509;0.006720831999583765;0.003505253434953182;0.008631209218742471
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');SimpleComposite_MonoEmbeddings_Max2Strategy();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7409457279009262;0.8287016496806886;0.7444500009186683;0.0015266732789426633;0.0007839182766464233;0.005623938785401068
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');SimpleComposite_MonoEmbeddings_Max2Strategy();MaxAbsScaler();LGBMClassifier();0.7817650440871432;0.8511207946343887;0.8284201164418823;0.0036112455021122666;0.008630361710523013;0.00540372019986964
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');SimpleComposite_MonoEmbeddings_Max2Strategy();MaxAbsScaler();DNN;0.7652903600236706;0.8347222601888262;0.8197763584896544;0.0015356628453501416;0.004197095743009018;0.01067885390142258
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');SimpleComposite_MeanTargetEncoder(alpha=5);MaxAbsScaler();RandomForestClassifier(max_depth=10);0.7674915340027012;0.8521559912140134;0.8172192098116448;0.004329882201819355;0.0021646791066434593;0.005175547075978731
FeatureSelection(categoricals=['type', 'breed1', 'breed2', 'gender', 'color1', 'color2', 'color3', 'maturitysize', 'furlength', 'vaccinated', 'dewormed', 'sterilized', 'health', 'quantity', 'state', 'rescuerid', 'has_name'], numericals=['photoamt', 'videoamt', 'fee', 'age'], target='target');SimpleComposite_MeanTargetEncoder(alpha=5);MaxAbsScaler();LogisticRegression(max_iter=500);0.7600212254870596;0.8475477128161587;0.8002081790437537;0.003729482873057195;0.0015761368142719655;0.006927218841194938
